一条狗的使命 / A Dog's Purpose,一条狗的使命,7.7,125052,拉斯·霍尔斯道姆,W·布鲁斯·卡梅伦/凯瑟琳·迈克/奥黛丽·威尔斯/玛雅·福布斯/沃利·亚历斯戴尔,乔什·加德/布丽特·罗伯森/丹尼斯·奎德/佩吉·利普顿/K·J·阿帕/布莱斯·吉扎尔/朱丽叶·赖伦斯/卢克·科比/加布里埃尔·罗斯/迈克尔·博夫舍维尔/洛根·米勒/柯比·豪厄-尔巴普蒂斯特/普奇·豪尔/约翰·奥提兹/妮科尔·勒普拉卡/彼特·科拉米斯/卡罗琳·凯芙/简·迈克格雷格/科维西·阿梅扬/卡琳·博姆拜克/娜奥米·弗伦内特,剧情/喜剧/家庭,美国,2017-03-03(中国大陆)/2017-01-27(美国),101分钟
无敌浩克 / The Incredible Hulk,无敌浩克,6.8,76020,路易斯·莱特里尔,扎克·佩恩,爱德华·诺顿/丽芙·泰勒/蒂姆·罗斯/威廉·赫特/蒂姆·布雷克·尼尔森,动作/科幻/惊悚,美国,2008-08-20(中国大陆)/2008-06-13(美国),112 分钟
危楼愚夫 / Дурак,危楼愚夫,8.4,18399,尤里·贝科夫,尤里·贝科夫,Artyom Bystrov/娜塔丽亚·苏尔科娃/Yury Tsurilo/Boris Nevzorov/Kirill Polukhin/亚力山大·卡尔索诺夫/Olga Samoshina/Darya Moroz/Sergey Artsybashev/艾琳娜·帕诺娃/Dmitry Kulichkov/Ilya Isaev/Maxim Pinsker/Lyubov Rudenko,剧情,俄罗斯,2014-08-09(洛迦诺电影节),116分钟
猜火车2 / T2 Trainspotting,猜火车2,8.1,23655,丹尼·博伊尔,约翰·霍奇/埃文·威尔什,伊万·麦克格雷格/约翰尼·李·米勒/罗伯特·卡莱尔/艾文·布莱纳/雪莉·亨德森/安杰拉·奈迪亚科娃/史蒂文·罗伯特森/戈登·肯尼迪/西蒙·韦尔/詹姆斯·卡沙莫/梁佩诗/阿塔·雅谷伯/埃文·威尔什/凯莉·麦克唐纳/艾琳·尼古拉斯/凯文·麦克基德/艾米·曼森/波林·林奇/特丽莎·达斯科娃,剧情/犯罪,英国,2017-01-27(英国),117分钟
深夜食堂电影版2 / 続・深夜食堂,深夜食堂电影版2,8.1,6178,松冈锭司,安倍夜郎/真边克彦/小嶋健作/松冈锭司,小林薰/河井青叶/佐藤浩市/池松壮亮/木村绿子/小岛圣/渡边美佐子/井川比佐志/多部未华子/余贵美子/小田切让/不破万作/绫田俊树/松重丰/光石研/安藤玉惠/须藤理彩/小林麻子/吉本菜穂子/中山佑一朗/山中崇/宇野祥平/金子清文/平田薫/筱原友希子/片冈礼子/谷村美月,剧情,日本,2017-07-18(中国大陆)/2016-11-05(日本),108分钟
控方证人 / Witness for the Prosecution,控方证人,9.6,77172,比利·怀德,阿加莎·克里斯蒂/比利·怀德/哈里·库尼兹,泰隆·鲍华/玛琳·黛德丽/查尔斯·劳顿/爱尔莎·兰切斯特/约翰·威廉姆斯/亨利·丹尼尔/伊安·沃尔夫/托林·撒切尔/诺玛·威登,剧情/悬疑/犯罪,美国,1957-12-17(美国),116分钟
摔跤吧！爸爸 / Dangal,摔跤吧！爸爸,9.2,313064,涅提·蒂瓦里,比于什·古普塔/施热亚·简,阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔/阿帕尔夏克提·库拉那/沙克希·坦沃/泽伊拉·沃西姆/苏哈妮·巴特纳格尔/里特维克·萨霍里/吉里什·库卡尼,剧情/传记/运动,印度,2017-05-05(中国大陆)/2016-12-23(印度),161分钟(印度)/140分钟(中国大陆)
五亿探长雷洛传1：雷老虎 / 五億探長雷洛傳：雷老虎,五亿探长雷洛传1：雷老虎,7.6,16667,刘国昌,陈文强,刘德华/张敏/邱淑贞/吴孟达/陈惠敏/秦沛/关海山/龙方,剧情/动作/爱情/犯罪,香港,1991-09-19,127分钟
共谋者 / 공모자들,共谋者,,,,,,,,,
喜欢你,喜欢你,7.0,104837,许宏宇,李媛/许伊萌/蓝白色(原著),金城武/周冬雨/孙艺洲/奚梦瑶/杨祐宁/张国柱/高晓松/林志玲/赵英俊/海佟,喜剧/爱情,中国大陆,2017-04-27(中国大陆)/2017-04-08(北京电影节),106分钟
