探员卡特 / Marvel One-Shot: Agent Carter,探员卡特,7.5,3315,Louis D'Esposito,Eric Pearson,海莉·阿特维尔/沙恩·布莱克/多米尼克·库珀/Greg Haines/Jacob McCafferty/尼尔·麦克唐纳/布莱德利·惠特福德,动作/科幻/冒险,美国,2013-08-20,15分29秒
雷神 / Thor,雷神,6.6,117933,肯尼思·布拉纳,Ashley Miller/Mark Protosevich/Zack Stentz/Don Payne/J·迈克尔·斯特拉辛斯基/斯坦·李/Larry Lieber/杰克·科比,克里斯·海姆斯沃斯/汤姆·希德勒斯顿/娜塔莉·波特曼/安东尼·霍普金斯/斯特兰·斯卡斯加德/凯特·戴琳斯/克拉克·格雷格/伊德里斯·艾尔巴/科鲁姆·费奥瑞/雷·史蒂文森/浅野忠信/杰米·亚历山大/蕾妮·罗素/艾德里安娜·巴拉扎/杰瑞米·雷纳/乔希·达拉斯,动作/奇幻/冒险,美国,2011-05-08(中国大陆)/2011-05-06(美国),114分钟
洛城机密 / L.A. Confidential,洛城机密,8.6,73489,柯蒂斯·汉森,布莱恩·海尔格兰德/柯蒂斯·汉森/詹姆斯·艾罗瑞,凯文·史派西/罗素·克劳/盖·皮尔斯/詹姆斯·克伦威尔/金·贝辛格/丹尼·德维托/大卫·斯特雷泽恩/朗·瑞弗金/格拉汉姆·贝克尔/安贝尔·史密斯/John Mahon/保罗·吉尔福伊尔/马特·麦考伊/保罗·塞甘蒂/西蒙·贝克/达雷尔·桑迪/马里索尔·帕迪拉·桑切斯/格温达·迪肯/肖尼·弗里·琼斯/伊丽莎白·格兰里/桑德拉·泰勒/史蒂夫·兰金,剧情/悬疑/惊悚/犯罪,美国,1997-09-19(美国),138分钟
电话谋杀案 / Dial M for Murder,电话谋杀案,8.6,20463,阿尔弗雷德·希区柯克,弗雷德里克·诺特,雷·米兰德/格蕾丝·凯利/罗伯特·卡明斯/约翰·威廉姆斯/安东尼·道森/利奥·布里特/帕特里克·艾伦/乔治·利/罗温·休斯,悬疑/惊悚/犯罪,美国,1954-05-29(美国),105分钟/88分钟(葡萄牙)
万能钥匙 / The Skeleton Key,万能钥匙,7.8,155342,伊恩·索夫特雷,伊伦·克鲁格,凯特·哈德森/吉娜·罗兰兹/约翰·赫特/彼得·萨斯加德/乔伊·布赖恩特/麦克辛·巴内特/法隆尼·R·哈里斯/马龙·泽瑟/安·达芮普/迪内·泰勒/楚拉·M·马库斯/松雅·斯塔森/托马斯·尤斯卡利/Jen Apgar/弗里斯特·兰蒂斯,悬疑/惊悚/恐怖,美国/德国,2005-07-29(英国)/2005-08-12(美国),104 分钟
半生缘 / 半生緣,半生缘,7.7,36191,许鞍华,张爱玲/陈建忠,黎明/吴倩莲/梅艳芳/黄磊/葛优/吴辰君/王志文/朱曼芳,剧情/爱情,香港/中国大陆,1997-09-12,
暴力街区 / Banlieue 13,暴力街区,8.0,73032,皮埃尔·莫瑞尔,吕克·贝松/毕比·纳西利,塞瑞尔·拉菲利/大卫·贝利/Tony D'Amario/毕比·纳西利/丹妮·沃瑞西莫/François Chattot/Nicolas Woirion/Patrick Olivier/萨米尔·盖丝米/Jérôme Gadner/Tarik Boucekhine/Grégory Jean/Warren Zavatta/Dominique Dorol/卢德维克·伯特希尔克,动作/犯罪,法国,2004-11-10(法国),84 分钟
国家公敌 / Enemy of the State,国家公敌,8.0,68985,托尼·斯科特,大卫·马可尼,威尔·史密斯/吉恩·哈克曼/强·沃特/莉莎·博内特/雷吉娜·金/斯图亚特·维尔森/劳拉·凯洛蒂/劳恩·迪恩/巴里·佩珀/伊恩·哈特/杰克·布塞/斯科特·凯恩/杰森·李/加布里埃尔·伯恩/詹姆斯·勒格罗/丹·巴特勒/杰克·布莱克/杰米·肯尼迪/博德希·埃夫曼/安娜·冈/加斯查·华盛顿/汤姆·塞兹摩尔,剧情/动作/惊悚,美国,1998-11-20(美国),132分钟/140分钟(加长版)
谍影重重3 / The Bourne Ultimatum,谍影重重3,8.7,170807,保罗·格林格拉斯,托尼·吉尔罗伊/斯科特·Z·本恩斯,马特·达蒙/朱丽娅·斯蒂尔斯/大卫·斯特雷泽恩/斯科特·格伦/帕迪·康斯戴恩/埃德加·拉米雷兹/阿尔伯特·芬尼/琼·艾伦/Tom Gallop/克里·约翰逊/丹尼尔·布鲁赫/乔伊·安沙/科林·斯廷顿/丹·弗雷登堡/Lucy Liemann,动作/悬疑/惊悚,美国/德国,2007-11-15(中国大陆)/2007-08-03(美国),115分钟
空中监狱 / Con Air,空中监狱,8.1,107751,西蒙·韦斯特,斯科特·罗森伯格,尼古拉斯·凯奇/约翰·库萨克/约翰·马尔科维奇/文·瑞姆斯/科尔姆·米尼/麦凯尔泰·威廉逊/尼克·齐兰德/大卫·查普尔/雷切尔·蒂科汀/史蒂夫·布西密/丹尼·特雷霍/迈克·康纳·盖尼/兰德里·阿尔伯特/莫妮卡·波特/杰西·博雷格/何塞·祖尼加/耐德·巴拉米/约翰·罗斯留斯/弗瑞德里克·林恩/安吉拉·范泽斯通/道格·休切逊/大卫·莱姆希/埃米里奥·瑞弗拉/格雷格·科林斯/唐·戴维斯/雷诺里·圣地亚哥/Steve Eastin/Brendan Kelly/Carl Ciarfalio/Marty McSorley/Bob Stephenson/Scott Ditty/Conrad Goode/Mario Roberts/Ty Granderson Jones/Earl Billings/Billy Devlin/Mark Ginther/Thomas Rosales Jr./Eddie Perez,动作/惊悚/犯罪,美国,1997-06-06(美国),115分钟/123 分钟(加长版)
虎胆龙威4 / Live Free or Die Hard,虎胆龙威4,7.6,51714,伦·怀斯曼,马克·鲍姆贝克,布鲁斯·威利斯/蒂莫西·奥利芬特/贾斯汀·朗/李美琪/克利夫·柯蒂斯/乔纳森·萨多斯基/Andrew Friedman/凯文·史密斯/Yorgo Constantine/塞瑞尔·拉菲利/克里斯巴勒莫/玛丽·伊丽莎白·温斯特德/姜成镐/泽利科·伊万内克/克里斯蒂娜·张,动作/惊悚/犯罪,美国/英国,2007-11-22(中国大陆)/2007-06-27(美国),128 分钟/129 分钟(未分级版)
江湖情,江湖情,6.9,4386,黄泰来 (Taylor Wong),萧若元,周润发/刘德华/谭咏麟/刘嘉玲/万梓良/李修贤/王小凤,剧情/动作/惊悚/犯罪,香港,1987-01-01,104 分钟
新上海滩 / 新上海灘,新上海滩,7.5,23970,潘文杰,邹凯光/潘文杰/邵丽琼,张国荣/刘德华/宁静/李蕙敏/吴兴国/刘洵/黄佩霞/李健仁/郑雨盛,动作/惊悚/犯罪,香港,1996-07-13,96 分钟
上海皇帝之雄霸天下,上海皇帝之雄霸天下,7.7,3843,潘文杰,麦当雄/萧若元,吕良伟/郑则仕/徐锦江/刘嘉玲/叶童,剧情/悬疑/犯罪,香港,1993-05-13,
岁月风云之上海皇帝 / 歲月風雲之上海皇帝,岁月风云之上海皇帝,7.8,4616,潘文杰,麦当雄/萧若元,吕良伟/郑则仕/徐锦江/刘嘉玲/叶童,剧情/悬疑/犯罪,香港,1993-01-22,
五亿探长雷洛传III（大结局）,五亿探长雷洛传III（大结局）,7.1,2850,刘国昌,,刘德华/郭富城/邱淑贞,剧情/动作/爱情/犯罪,香港,1992,
五亿探长雷洛传2：父子情仇 / 五億探長雷洛傳II之父子情仇,五亿探长雷洛传2：父子情仇,7.2,9824,刘国昌,,刘德华/郭富城/吴孟达/邱淑贞/张敏/秦沛,剧情/犯罪,香港,1991-10-10(香港),111 分钟
秋天的童话 / 秋天的童話,秋天的童话,8.4,43488,张婉婷,罗启锐,周润发/钟楚红/陈百强/黄淑仪,剧情/爱情,香港,1987-07-16,
投奔怒海,投奔怒海,8.4,6457,许鞍华,邱刚健,林子祥/缪骞人/马斯晨/刘德华/奇梦石/郝嘉陵,剧情,香港,1982-10-13,109 分钟
阮玲玉,阮玲玉,8.4,43650,关锦鹏,邱刚健,张曼玉/吴启华/刘嘉玲/梁家辉/叶童/秦汉/李子雄/周杰,剧情/爱情/传记,香港,1991-11-29(台湾)/1992-02-20(香港),126 分钟(澳大利亚)/147 分钟(导演剪辑版)/118 分钟(edited version)/154 分钟(restored DVD version)
流星语 / 流星語,流星语,8.5,7118,张之亮,邓汉强,张国荣/叶靖岚/狄龙/吴家丽/琦琦/李蕙敏/白嘉倩/林家栋/沈傲君,剧情/喜剧,香港,1999-10-14,110分钟
阿郎的故事,阿郎的故事,8.5,56745,杜琪峰,郑忠泰/吴文辉,周润发/张艾嘉/黄坤玄/吴孟达/王天林,剧情,香港,1989-03-16(香港)/1991-04-20(日本),99分钟
笼民 / 籠民,笼民,8.8,3266,张之亮,张之亮/吴沧洲/黄仁达/钱耀恒,黄家驹/乔宏/廖启智/陈国新/泰迪·罗宾/李名炀/刘洵/刘以达/邱礼涛/祖·尊尼亚/谷峰/胡枫,剧情,香港,1992-09-16,
南海十三郎,南海十三郎,9.0,11312,高志森,杜国威,谢君豪/潘灿良/苏玉华/梁汉威/吴绮莉/黄霑/周志辉,剧情/爱情/传记,香港,1997-05-15(香港),110分钟
一天 / One Day,一天,7.8,270437,罗勒·莎菲,大卫·尼克尔森,安妮·海瑟薇/吉姆·斯特吉斯/萝玛拉·嘉瑞/派翠西娅·克拉克森/拉菲·斯波/肯·斯托特/Jodie Whittaker,剧情/爱情,美国/英国,2011-08-19(美国),107分钟
大逃杀 / バトル・ロワイアル,大逃杀,,,,,,,,,
庸才 / ヒミズ,庸才,7.6,10877,园子温,园子温,染谷将太/二阶堂富美/渡边哲/吹越满/神乐坂惠/光石研/渡边真起子/黑泽明日香/绪方义博/村上淳/洼冢洋介/吉高由里子/西岛隆弘/铃木杏,剧情,日本,2012-01-14(日本),129分钟
地狱为何恶劣 / 地獄でなぜ悪い,地狱为何恶劣,7.5,9601,园子温,园子温,国村隼/二阶堂富美/堤真一/长谷川博己/星野源/友近/板尾创路/尾上宽之/坂口拓/渡边哲/永冈佑/北村昭博/神乐坂惠/深水元基/诹访太朗,剧情/喜剧,日本,2013-09-28,129分钟
恶之教典 / 悪の教典,恶之教典,7.0,16991,三池崇史,三池崇史/贵志祐介,伊藤英明/二阶堂富美/染谷将太/林遣都/浅香航大/水野绘梨奈/山田孝之/平岳大/吹越满,惊悚,日本,2012-11-10(日本),129分钟
杀手阿一 / 殺し屋1,杀手阿一,7.4,21590,三池崇史,山本英夫/佐藤佐吉,浅野忠信/大森南朋/塚本晋也/萨布/孙佳君/寺岛进/菅田俊/涩川清彦/松尾铃木,剧情/喜剧/动作/悬疑/惊悚/犯罪,日本,2001-09-14(多伦多电影节)/2001-12-22(日本),129分钟
无敌浩克 / The Incredible Hulk,无敌浩克,6.8,75953,路易斯·莱特里尔,扎克·佩恩,爱德华·诺顿/丽芙·泰勒/蒂姆·罗斯/威廉·赫特/蒂姆·布雷克·尼尔森,动作/科幻/惊悚,美国,2008-08-20(中国大陆)/2008-06-13(美国),112 分钟
声之形 / 聲の形,声之形,7.7,7641,山田尚子,吉田玲子/大今良时,入野自由/早见沙织/悠木碧/小野贤章/金子有希/石川由依/潘惠美/丰永利行/松冈茉优,剧情/爱情/动画,日本,2016-09-17(日本),129分钟
宝贝老板 / The Boss Baby,宝贝老板,7.3,10568,汤姆·麦格拉思,迈克尔·麦库勒斯/玛拉·弗雷齐,亚历克·鲍德温/迈尔斯·克里斯托弗·巴克什/吉米·坎摩尔/丽莎·库卓/史蒂夫·布西密/托比·马奎尔/詹姆斯·麦格拉思/康拉德·弗农/薇薇安·叶/小埃里克·贝尔/大卫·索伦/伊迪·米尔曼/詹姆斯·雷恩/沃尔特·道恩/朱尔斯·温特,喜剧/动画,美国,2017-03-12(迈阿密电影节)/2017-03-31(美国),97分钟
在这世界的角落 / この世界の片隅に,在这世界的角落,7.6,11992,片渊须直,片渊须直/河野史代,能年玲奈/细谷佳正/尾身美词/稻叶菜月/牛山茂/新谷真弓/小野大辅/岩井七世/潘惠美/京田尚子/涩谷天外/小山刚志/津田真澄,剧情/动画/战争,日本,2016-11-12(日本),126分钟
穿普拉达的女王 / The Devil Wears Prada,穿普拉达的女王,7.9,310276,大卫·弗兰科尔,艾莲·布洛什·麦肯纳,安妮·海瑟薇/梅丽尔·斯特里普/艾米莉·布朗特/斯坦利·图齐/西蒙·贝克/艾德里安·格尼尔/吉赛尔·邦辰,剧情/爱情,美国/法国,2007-02-27(中国大陆)/2006-06-30(美国),109 分钟
初恋50次 / 50 First Dates,初恋50次,7.9,190297,彼得·西格尔,George Wing,亚当·桑德勒/德鲁·巴里摩尔/罗伯·施奈德/西恩·奥斯汀/卢西亚·斯杜斯/丹·艾克罗伊德/艾米·希尔/艾伦·卡瓦特/布莱克·克拉克/玛娅·鲁道夫/Pomaika'i Brown/Joe Nakashima/彼得·丹特/Dom Magwili/Jonathan Loughran/琳恩·柯林斯/杰姬·桑德勒/凯文·詹姆斯/米西·派勒,喜剧/爱情,美国,2004-06-25(中国大陆)/2004-02-13(美国),99分钟
彗星来的那一夜 / Coherence,彗星来的那一夜,8.3,149156,詹姆斯·沃德·布柯特,詹姆斯·沃德·布柯特/亚历克斯·马努吉安,艾米丽·芭尔多尼/莫瑞·史特林/尼古拉斯·布兰登/伊丽莎白·格瑞斯/亚历克斯·马努吉安/劳伦·马赫/雨果·阿姆斯特朗/劳伦·斯卡法莉娅,科幻/悬疑/惊悚,美国/英国,2013-09-19(奥斯汀奇幻电影节)/2014-08-06(美国),89分钟
机械姬 / Ex Machina,机械姬,7.5,108956,亚历克斯·加兰,亚历克斯·加兰,奥斯卡·伊萨克/多姆纳尔·格里森/艾丽西亚·维坎德/克里·约翰逊/黛博拉·罗桑/李仙湖/水野索诺娅/Evie Wray,剧情/科幻/悬疑/惊悚,英国,2015-01-21(英国)/2015-04-10(美国),108分钟
明日边缘 / Edge of Tomorrow,明日边缘,8.0,230475,道格·里曼,克里斯托弗·麦奎里/杰斯·巴特沃斯/约翰-亨利·巴特沃斯/樱坂洋,汤姆·克鲁斯/艾米莉·布朗特/布莱丹·格里森/比尔·帕克斯顿/约纳斯·阿姆斯特朗/托尼·威/奇克·盖瑞/弗朗茨·德拉姆/德拉戈米尔·米希克/夏洛特·莱利/羽田正义/特伦斯·梅纳德/诺亚·泰勒/拉娜·普尔弗/玛德琳·曼托克,动作/科幻,美国/加拿大,2014-06-06(美国/中国大陆),114分钟(中国大陆)/113分钟(美国)
火星救援 / The Martian,火星救援,8.4,284434,雷德利·斯科特,德鲁·高达/安迪·威尔,马特·达蒙/杰西卡·查斯坦/克里斯汀·韦格/杰夫·丹尼尔斯/迈克尔·佩纳/凯特·玛拉/肖恩·宾/塞巴斯蒂安·斯坦/唐纳德·格洛弗/切瓦特·埃加福特/阿卡塞尔·亨涅/陈数/高雄/本尼迪克特·王/麦肯兹·戴维斯/娜奥米·斯科特/丽丽·博尔丹/布莱恩·卡斯佩,剧情/科幻/冒险,美国/英国,2015-11-25(中国大陆)/2015-10-02(美国),144分钟/151分钟(加长版)
绑架者,绑架者,4.9,20176,徐静蕾/杨翌舒,徐静蕾/杨翌舒,白百何/黄立行/明道/李淳/李玖哲/徐静蕾/梁天,动作/犯罪,中国大陆/台湾/香港,2017-03-31(中国大陆),95分钟
亚瑟王：斗兽争霸 / King Arthur: Legend of the Sword,亚瑟王：斗兽争霸,7.5,19204,盖·里奇,卓比·哈罗德/盖·里奇/莱昂内尔·威格拉姆/大卫·道金,查理·汉纳姆/裘德·洛/阿斯特丽德·伯格斯-弗瑞斯贝/米卡埃尔·佩斯布兰特/杰曼·翰苏/安娜贝拉·沃丽丝/艾瑞克·巴纳/艾丹·吉伦/尼尔·马斯克尔/赫敏·科菲尔德/凯蒂·麦克格雷斯/杰奎·安斯蕾/弗莱迪·福克斯/波比·迪瓦伊/朱利安·西格尔/大卫·贝克汉姆/杰夫·贝尔/米莉·布拉迪/乔治娜·坎贝尔/丹尼尔·斯蒂森/伊琳·珀威尔/迈克尔·麦克埃尔哈顿/阿德里安·布薛特/彼得·费迪南多/汤姆·吴/金斯利·本-阿德/盖·里奇,动作/奇幻/冒险,美国,2017-05-12(中国大陆/美国),126分钟
当怪物来敲门 / A Monster Calls,当怪物来敲门,7.1,16218,胡安·安东尼奥·巴亚纳,帕特里克·内斯/西沃恩·道德,刘易斯·麦克杜格尔/西格妮·韦弗/菲丽希缇·琼斯/连姆·尼森/托比·凯贝尔/本·摩尔/詹姆斯·梅尔维尔/多米尼克·博伊尔/詹尼弗·林/摩根·赛姆斯/弗瑞达·帕尔森/婉妲·奥普琳斯卡,剧情/儿童/奇幻,美国/西班牙/英国,2017-05-19(中国大陆)/2016-09-09(多伦多电影节)/2016-10-07(西班牙)/2017-01-06(美国),108分钟
银河护卫队2 / Guardians of the Galaxy Vol. 2,银河护卫队2,8.2,136919,詹姆斯·古恩,詹姆斯·古恩/丹·阿布内特/安迪·兰宁,克里斯·普拉特/佐伊·索尔达娜/戴夫·巴蒂斯塔/范·迪塞尔/布莱德利·库珀/凯伦·吉兰/迈克尔·鲁克/庞·克莱门捷夫/伊丽莎白·德比茨基/肖恩·古恩/库尔特·拉塞尔/克里斯·沙利文/大卫·哈塞尔霍夫/西尔维斯特·史泰龙/杨紫琼,动作/科幻/冒险,美国,2017-05-05(中国大陆/美国)/2017-04-25(澳大利亚),136分钟
荡寇风云,荡寇风云,6.3,4375,陈嘉上,陈嘉上,赵文卓/洪金宝/万茜/小出惠介/仓田保昭/唐文龙/刘俊孝/吴樾/木幡龙/王斑/洪天明,动作/传记/历史/战争/古装,中国大陆,2017-05-27(中国大陆),129分钟
加勒比海盗5：死无对证 / Pirates of the Caribbean: Dead Men Tell No Tales,加勒比海盗5：死无对证,7.4,127622,艾斯彭·山德伯格/乔阿吉姆·罗恩尼,特里·鲁西奥/泰德·艾略特/斯图尔特·贝亚蒂耶/杰夫·内桑森/杰·沃尔伯特,约翰尼·德普/哈维尔·巴登/杰弗里·拉什/布伦顿·思韦茨/卡雅·斯考达里奥/凯文·麦克纳利/格什菲·法拉哈尼/奥兰多·布鲁姆/凯拉·奈特莉/斯蒂芬·格拉汉姆/大卫·文翰/保罗·麦卡特尼/马丁·科勒巴/亚当·布朗/丹尼·基兰/马赫什·扎杜/胡安·卡洛斯·凡希多,动作/奇幻/冒险,美国,2017-05-26(中国大陆/美国),129分钟
朋友 / 친구,朋友,7.7,16033,郭暻泽,郭暻泽,张东健/刘五性/徐泰和/金甫京/朱玄/纪柱峰,剧情/动作/犯罪,韩国,2001-03-31(韩国),113分钟
城市猎人 / 시티헌터,城市猎人,8.0,53651,陈赫,黄恩庆,李敏镐/朴敏英/李俊赫/具荷拉/黄善熙/金相中/千虎珍/金相浩/李光洙/闵英媛/尹艺熙/郑俊/白胜贤,剧情/动作/惊悚,韩国,,
王者 / 더 킹,王者,7.4,14306,韩在林,韩在林,赵寅成/郑雨盛/裴晟祐/金雅中/柳俊烈/金素真/金义城/郑恩彩,剧情/犯罪,韩国,2017-01-18(韩国),134分钟/157分钟(加长版)
东方快车谋杀案 / オリエント急行殺人事件,东方快车谋杀案,7.3,9826,河野圭太,三谷幸喜/阿加莎·克里斯蒂,野村万斋/松岛菜菜子/二宫和也/杏/玉木宏/泽村一树/池松壮亮/八木亚希子/青木沙耶香/藤本隆宏/富司纯子/高桥克实/笹野高史/小林隆/草笛光子/西田敏行/吉濑美智子/佐藤浩市,剧情/悬疑/犯罪,日本,,
大侦探福尔摩斯 / Sherlock Holmes,大侦探福尔摩斯,7.5,187208,盖·里奇,迈克尔·罗伯特·约翰逊/安东尼·佩卡姆/西蒙·金伯格,小罗伯特·唐尼/裘德·洛/瑞秋·麦克亚当斯/马克·斯特朗/凯利·蕾莉,动作/悬疑/惊悚/犯罪/冒险,美国/德国,2010-02-25(中国大陆)/2009-12-25(美国),128分钟
胜者即是正义SP / リーガル・ハイSP,胜者即是正义SP,8.9,50207,石川淳一,古泽良太,堺雅人/新垣结衣/生濑胜久/小池荣子/田口淳之介/矢野圣人/里见浩太朗/荣仓奈奈/广末凉子/北大路欣也/堀内敬子,剧情/喜剧,日本,2013-04-13(日本),119分钟
奎迪 / Creed,奎迪,7.3,12373,瑞恩·库格勒,瑞恩·库格勒/亚伦·卡温顿/西尔维斯特·史泰龙,迈克尔·B·乔丹/西尔维斯特·史泰龙/泰莎·汤普森/菲利西亚·拉斯海德/安东尼·贝柳/伍德·哈里斯/安德烈·沃德/加布里埃尔·罗萨多/胡安·巴勃罗·维泽格/格拉汉姆·麦克泰维什/威尔·布拉格罗夫/马克·史密斯,剧情/运动,美国,2015-11-25(美国),133分钟
恐袭波士顿 / Patriots Day,恐袭波士顿,8.1,13565,彼得·博格,彼得·博格/马特·库克/约书亚·祖特曼/保罗·塔马西/埃瑞克·约翰逊,马克·沃尔伯格/米歇尔·莫纳汉/J·K·西蒙斯/约翰·古德曼/梅莉莎·班诺伊/凯文·贝肯/亚历克斯·沃尔夫/蕾切尔·布罗斯纳安/埃里卡·麦克德莫特/克里斯朵夫·奥谢/文森特·库拉托拉/詹姆斯·科尔比/欧阳万成/Themo Melikidze,剧情/惊悚/历史,美国,2016-11-17(AFI影展)/2017-01-13(美国),133分钟
边境杀手 / Sicario,边境杀手,7.4,49796,丹尼斯·维伦纽瓦,泰勒·谢里丹,艾米莉·布朗特/本尼西奥·德尔·托罗/乔什·布洛林/维克多·加博/乔·博恩瑟/丹尼尔·卡卢亚/杰弗里·多诺万/劳尔·特鲁希洛/胡里奥·赛迪罗/汉克·罗杰森/马克斯米利亚诺·赫尔南德斯/艾伦·D·柏温/迪兰·科宁/马修·佩奇/约翰·彼得·贝尔纳多,剧情/动作/犯罪,美国,2015-05-19(戛纳电影节)/2015-10-02(美国),121分钟
疾速追杀 / John Wick,疾速追杀,7.0,34113,大卫·里奇/查德·史塔赫斯基,德里克·科尔斯塔,基努·里维斯/迈克尔·恩奎斯特/阿尔菲·艾伦/威廉·达福/迪恩·文特斯/阿德琳妮·帕里奇/奥默·巴尼亚/托比·莱昂纳德·摩尔/丹尼尔·伯哈特/布丽姬·穆娜/约翰·雷吉扎莫/伊恩·麦柯肖恩/布里吉特·瑞根/兰斯·莱迪克/基思·雅各/托马斯·萨多斯基/克拉克·彼得斯/兰德尔·杜克·金/凯文·纳什/大卫·帕特里克·凯利/波·沙都/纳迪娅·凯/凡妮莎·万德·普卢姆,动作/惊悚/犯罪,美国/中国大陆,2014-09-19(奥斯汀奇幻电影节)/2014-10-24(美国),101分钟
怒火救援 / Man on Fire,怒火救援,8.1,39527,托尼·斯科特,A·J·昆奈尔/布莱恩·海尔格兰德,丹泽尔·华盛顿/达科塔·范宁/拉妲·米契尔/马克·安东尼/克里斯托弗·沃肯/吉安卡罗·吉安尼尼/雷切尔·蒂科汀/杰苏斯·欧乔阿/米基·洛克,剧情/动作/惊悚,美国/英国,2004-04-23(美国),146 分钟
硬核亨利 / Хардкор,硬核亨利,,,,,,,,,
秘密特工 / The Man from U.N.C.L.E.,秘密特工,8.0,69442,盖·里奇,盖·里奇/莱昂内尔·威格拉姆/杰夫·克利曼/大卫·威尔森/萨姆·罗尔夫,亨利·卡维尔/阿米·汉莫/艾丽西亚·维坎德/西尔维斯特·格罗斯/休·格兰特/杰瑞德·哈里斯/伊丽莎白·德比茨基/克里斯汀·伯克/乔治·利昂·马丁内斯/卢卡·卡尔瓦尼/大卫·贝克汉姆/丹尼尔·韦斯特伍德,喜剧/动作/冒险,美国/英国,2015-08-14(美国/英国),116分钟
突袭2：暴徒 / The Raid 2: Berandal,突袭2：暴徒,7.8,30465,加雷斯·埃文斯,加雷斯·埃文斯,伊科·乌艾斯/朱莉·埃斯特尔/雅彦·鲁伊安/阿里芬·普特拉/唐尼·阿兰西亚/奥卡·安塔拉/北村一辉/蒂奥·帕库苏德沃/松田龙平/远藤宪一/玛莎.蒂莫西/Cecep Arif Rahman/Alex Abbad,剧情/动作/犯罪,印度尼西亚/美国,2014-01-21(圣丹斯电影节)/2014-03-28(美国)/2014-03(印尼),150分钟
天龙特攻队 / The A-Team,天龙特攻队,7.6,54234,乔·卡纳汉,乔·卡纳汉/布莱恩·布鲁姆/斯基普·伍兹,连姆·尼森/布莱德利·库珀/沙尔托·科普雷/奎顿·杰克逊/杰西卡·贝尔/帕特里克·威尔森,动作/惊悚/冒险,美国,2010-06-11(美国),117 分钟/133分钟(加长版)
谍影重重5 / Jason Bourne,谍影重重5,7.3,111534,保罗·格林格拉斯,保罗·格林格拉斯/罗伯特·鲁德鲁姆/克里斯多福·劳斯,马特·达蒙/汤米·李·琼斯/艾丽西亚·维坎德/文森特·卡索/朱丽娅·斯蒂尔斯/里兹·阿迈德/内芙·加切夫/比尔·坎普/斯科特· 谢泼德/小田部阿基/拉斯科·阿特金斯/特雷弗·怀特/奥托·艾森度/艾米·德·毕罕,动作/悬疑/惊悚,美国,2016-08-23(中国大陆)/2016-07-29(美国),123分钟/124分钟(中国大陆)
生死狙击 / Shooter,生死狙击,7.7,78944,安东尼·福奎阿,乔纳森·勒姆金,马克·沃尔伯格/凯特·玛拉/迈克尔·佩纳/丹尼·格洛弗/伊莱亚斯·科泰斯/罗娜·迈特拉,动作/悬疑/惊悚/犯罪,美国,2007-05-12(中国大陆)/2007-03-23(美国),124分钟
